Sentence,Label,LabelProbability
"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.","Negative",0.535634
"Reading my kindle2...  Love it... Lee childs is good read.","Positive",0.968031
"Ok, first assesment of the #kindle2 ...it fucking rocks!!!","Positive",0.822685
"@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)","Positive",0.817371
"@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)","Positive",0.882528
"@richardebaker no. it is too big. I'm quite happy with the Kindle2.","Positive",0.946177
"Fuck this economy. I hate aig and their non loan given asses.","Negative",0.952173
"Jquery is my new best friend.","Positive",0.885867
"Loves twitter","Positive",0.88965
"how can you not love Obama? he makes jokes about himself.","Negative",0.59253
"Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM","Positive",0.850532
"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism","Negative",0.636334
"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation","Positive",0.514661
"Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!","Positive",0.803128
"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x","Negative",0.693352
"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2","Negative",0.773715
"I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.","Negative",0.923247
"i love lebron. http://bit.ly/PdHur","Positive",0.771129
"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.","Negative",0.739495
"@Pmillzz lebron IS THE BOSS","Negative",0.629918
"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol","Positive",0.694753
"lebron and zydrunas are such an awesome duo","Positive",0.78654
"@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.","Negative",0.912176
"downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.","Positive",0.794177
"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!","Positive",0.610666
"http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)","Positive",0.854476
"In montreal for a long weekend of R&amp;R. Much needed.","Positive",0.717341
"Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv","Positive",0.786781
"[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP","Positive",0.946775
"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.","Negative",0.659167
"need suggestions for a good IR filter for my canon 40D ... got some? pls DM","Positive",0.854391
"@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv","Positive",0.787949
"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.","Positive",0.850321
"Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.","Positive",0.533671
"US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders","Positive",0.638875
"omg so bored &amp; my tattoooos are so itchy!!  help! aha =)","Negative",0.778781
"I'm itchy and miserable!","Negative",0.985293
"@sekseemess no. I'm not itchy for now. Maybe later, lol.","Positive",0.67964
"RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR","Negative",0.747674
"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.","Positive",0.704734
"I'm listening to P.Y.T by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)","Positive",0.792333
"is going to sleep then on a bike ride:]","Positive",0.804744
"cant sleep... my tooth is aching.","Negative",0.993553
"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.","Negative",0.857557
"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf","Negative",0.863474
"is in San Francisco at Bay to Breakers.","Positive",0.672541
"just landed at San Francisco","Positive",0.683826
"San Francisco today.  Any suggestions?","Positive",0.826534
"?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg","Negative",0.705723
"started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?","Positive",0.506229
"ShaunWoo hate'n on AiG","Positive",0.592939
"@YarnThing you will not regret going to see Star Trek. It was AWESOME!","Positive",0.946327
"On my way to see Star Trek @ The Esquire.","Positive",0.842283
"Going to see star trek soon with my dad.","Positive",0.844009
"annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.","Negative",0.92052
"Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50","Positive",0.876054
"Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell","Positive",0.946769
"Blink by malcolm gladwell amazing book and The tipping point!","Positive",0.86278
"Malcolm Gladwell might be my new man crush","Positive",0.825408
"omg. The commercials alone on ESPN are going to drive me nuts.","Negative",0.774421
"@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.","Positive",0.820646
"playing with cURL and the Twitter API","Positive",0.832976
"Hello Twitter API ;)","Positive",0.822273
"playing with Java and the Twitter API","Positive",0.822104
"@morind45 Because the twitter api is slow and most client's aren't good.","Negative",0.917046
"yahoo answers can be a butt sometimes","Positive",0.627118
"is scrapbooking with Nic =D","Positive",0.838767
"RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR","Positive",0.825121
"just changed my default pic to a Nike basketball cause bball is awesome!!!!!","Positive",0.763301
"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding","Negative",0.752607
"'Next time, I'll call myself Nike'","Positive",0.812946
"New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT","Positive",0.77104
"RT @SmartChickPDX: Was just told that Nike layoffs started today :-(","Negative",0.972157
"Back when I worked for Nike we had one fav word : JUST DO IT! :)","Positive",0.749173
"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9","Positive",0.791188
"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.","Positive",0.661483
"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t","Positive",0.861087
"Class... The 50d is supposed to come today :)","Negative",0.859989
"needs someone to explain lambda calculus to him! :(","Negative",0.652611
"Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.","Negative",0.736244
"SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......","Positive",0.970469
"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.","Negative",0.684524
"@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!","Positive",0.961578
"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9","Negative",0.70121
"New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo","Positive",0.926767
"@ work til 6pm... lets go lakers!!!","Positive",0.711436
"Damn you North Korea. http://bit.ly/KtMeQ","Negative",0.783785
"Can we just go ahead and blow North Korea off the map already?","Positive",0.530588
"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl","Negative",0.889213
"Why the hell is Pelosi in freakin China? and on whose dime?","Negative",0.762975
"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where bailout means taking a handout!","Positive",0.577616
"insects have infected my spinach plant :(","Negative",0.822538
"wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects","Negative",0.990369
"just got back from church, and I totally hate insects.","Negative",0.729892
"Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it","Negative",0.796101
"omgg i ohhdee want mcdonalds damn i wonder if its open lol =]","Negative",0.790315
"History exam studying ugh","Negative",0.931788
"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...","Negative",0.998567
"Higher physics exam tommorow, not lookin forward to it much :(","Negative",0.965561
"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(","Negative",0.945801
"Cheney and Bush are the real culprits - http://fwix.com/article/939496","Positive",0.811274
"Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ","Positive",0.594765
"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg","Positive",0.661323
"The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump. -- Neal Boortz (just now, on the radio)","Positive",0.603223
"is Twitter's connections API broken? Some tweets didn't make it to Twitter...","Negative",0.99157
"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(","Negative",0.97119
"@psychemedia I really liked @kswedberg's Learning jQuery book. http://bit.ly/pg0lT is worth a look too","Positive",0.841355
"jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631","Positive",0.845262
"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT","Positive",0.602758
"Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!","Positive",0.965995
"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*","Positive",0.973396
"The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!","Positive",0.651327
"top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9","Positive",0.934881
"zomg!!! I have a G2!!!!!!!","Positive",0.503169
"Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl","Positive",0.584254
"just got a free G2 android at google i/o!!!","Positive",0.870759
"Guess I'll be retiring my G1 and start using my developer G2 woot #googleio","Positive",0.693217
"At GWT fireside chat @googleio","Positive",0.634518
"I am happy for Philip being at GoogleIO today","Positive",0.825582
"Lakers played great!  Cannot wait for Thursday night Lakers vs. ???","Positive",0.925358
"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8","Positive",0.941661
"Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK","Positive",0.937538
"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz","Positive",0.846699
"VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!","Negative",0.984821
"watching Night at The Museum . Lmao","Positive",0.832611
"i loved night at the museum!!!","Positive",0.967889
"going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin","Positive",0.916216
"just got back from the movies.  went to see the new night at the museum with rachel.  it was good","Positive",0.982617
"Just saw the new Night at the Museum movie...it was...okay...lol 7\10","Positive",0.775428
"Going to see night at the museum 2 with tall boy","Positive",0.933571
"@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good","Positive",0.984262
"no watching The Night At The Museum. Getting Really Good","Positive",0.59771
"Night at the Museum, Wolverine and junk food - perfect monday!","Positive",0.926752
"saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!","Positive",0.889264
"I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.","Positive",0.935872
"Taking Katie to see Night at the Museum.  (she picked it)","Positive",0.876893
"Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL","Positive",0.819093
"GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv","Negative",0.667401
"It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable","Negative",0.993918
"Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.","Negative",0.529113
"@jdreiss oh yes but if GM dies it will only be worth more boo hahaha","Negative",0.522355
"Time Warner cable is down again 3rd time since Memorial Day bummer!","Negative",0.995747
"I would rather pay reasonable yearly taxes for free fast internet, than get gouged by Time Warner for a slow connection.","Negative",0.855886
"NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner","Negative",0.998701
"F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!","Negative",0.874482
"time warner has the worse customer service ever. I will never use them again","Negative",0.889771
"Time warner is the devil. Worst possible time for the Internet to go out.","Negative",0.850822
"Fuck no internet damn time warner!","Negative",0.979349
"time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.","Negative",0.56845
"I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.","Negative",0.9937
"Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :)","Positive",0.618135
"Time Warner's HD line up is crap.","Negative",0.967723
"is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!","Negative",0.969517
"Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk)","Positive",0.746157
"Time Warner Cable slogan: Where calling it a day at 2pm Happens.","Positive",0.85377
"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3","Positive",0.625794
"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n","Positive",0.621853
"myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba","Positive",0.539276
"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv","Negative",0.531942
"http://xi.gs/04FO GM CEO: China will continue to be key partner","Positive",0.600762
"RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu","Negative",0.521998
"Recovering from surgery..wishing @julesrenner was here :(","Negative",0.954002
"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!","Negative",0.958893
"Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?","Negative",0.975788
"THE DENTIST LIED!  U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!","Negative",0.977811
"@kirstiealley my dentist is great but she's expensive...=(","Negative",0.994523
"@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml","Negative",0.830354
"is studing math ;) tomorrow exam and dentist :)","Negative",0.969145
"my dentist was wrong... WRONG","Negative",0.627943
"Going to the dentist later.:|","Negative",0.868149
"Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?","Negative",0.911164
"NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx","Positive",0.745876
"just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR","Positive",0.700514
"Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.","Positive",0.776376
"Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796","Negative",0.899898
"waiting in line at safeway.","Positive",0.566467
"luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?","Negative",0.880752
"Did not realize there is a gym above Safeway!","Positive",0.517731
"@XPhile1908 I have three words for you: Safeway dot com","Positive",0.870792
"Safeway is very rock n roll tonight","Positive",0.908258
"Bout to hit safeway I gotta eat","Negative",0.640971
"Jake's going to safeway!","Positive",0.684968
"Found a safeway. Picking up a few staples.","Positive",0.532563
"Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w","Positive",0.813497
"The safeway bathroom still smells like ass!","Negative",0.773975
"At safeway on elkhorn, they move like they're dead!","Negative",0.756573
"Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O","Positive",0.743834
"Is Eating and Watching Movies....","Positive",0.915945
"eating sashimi","Positive",0.725032
"is eating  home made yema","Positive",0.759315
"eating cake","Positive",0.671027
"i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.","Negative",0.824423
"Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic","Negative",0.511778
"iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc","Negative",0.636534
"is lovin his Nike  already and that's only from running on the spot in his bedroom","Positive",0.753664
"Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp","Positive",0.78241
"@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.","Positive",0.897234
"RT @jquery: The Ultimate jQuery List - http://jquerylist.com/","Positive",0.773861
"I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb","Positive",0.706693
"@anna_debenham what was the php jquery hack?","Positive",0.570107
"jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/","Positive",0.564863
"Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5","Positive",0.872235
"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style.","Positive",0.924248
"RT @blknprecious1: RT GREAT @dbroos Someone's sitting in the shade today because someone planted a tree a long time ago.- Warren Buffet","Positive",0.59101
"Warren Buffet on the economy http://ping.fm/Lau0p","Negative",0.577775
"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune","Positive",0.524149
"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*","Positive",0.746597
"All-Star Basketball Classic Tuesday Features Top Talent: Chattanooga's Notre Dame High School will play host.. http://bit.ly/qltJA","Positive",0.836177
"@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2","Negative",0.792825
"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ...","Positive",0.949305
"Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.","Negative",0.818536
"Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!","Negative",0.867549
"@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :)","Positive",0.51669
"OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.","Negative",0.99531
"wth..i have never seen a line this loooong at time warner before, ugh.","Negative",0.936239
"Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon","Negative",0.741382
"Man accosts Roger Federer during French Open http://ff.im/3HCPT","Positive",0.553777
"Naive Bayes using EM for Text Classification. Really Frustrating...","Negative",0.96785
"We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.","Positive",0.529557
"Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme","Positive",0.620566
"I'm going to bed. It was a successful weekend. Stanford, here I come.","Positive",0.809452
"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags","Negative",0.781147
"Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.","Negative",0.98272
"#at&amp;t is complete fail.","Negative",0.937736
"@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU","Negative",0.552151
"@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal","Negative",0.99139
"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)","Positive",0.801032
"pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299","Negative",0.989253
"Safari 4 is fast :) Even on my shitty AT&amp;T tethering.","Negative",0.967061
"@ims What is AT&amp;T fucking up?","Negative",0.850238
"@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!","Negative",0.996704
"@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T.","Positive",0.751475
"Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc","Positive",0.917009
"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8","Positive",0.794994
"@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye","Negative",0.872198
"@mattcutts have google profiles stopped showing up in searches? cant see them anymore","Negative",0.99599
"@ArunBasilLal I love Google Translator too ! :D Good day mate !","Positive",0.97512
"reading on my new Kindle2!","Positive",0.704037
"My Kindle2 came and I LOVE it! :)","Positive",0.92696
"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The cookbook is THE tool cuz it tells u all the tricks!  Best gift EVR!","Positive",0.935968
"The real AIG scandal / http://bit.ly/b82Px","Positive",0.535456
"Any twitter to aprs apps yet?","Negative",0.728541
"45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ","Positive",0.919143
"Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.","Positive",0.961307
"' Barack Obama shows his funny side  &gt;&gt; http://tr.im/l0gY !! Great speech..","Positive",0.729249
"I like this guy : ' Barack Obama shows his funny side  &gt;&gt; http://tr.im/l0gY !!","Positive",0.619214
