Sentence,Label,LabelProbability
"Obama's speech was pretty awesome last night! http://bit.ly/IMXUM","Positive",0.891518
"Reading  Bill Clinton Fail - Obama Win? http://tinyurl.com/pcyxj7","Negative",0.75
"Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu","Positive",0.965468
"Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;)","Positive",0.906777
"LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750","Negative",0.950985
"is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals","Positive",0.678524
"@khalid0456 No, Lebron is the best","Negative",0.770264
"@the_real_usher LeBron is cool.  I like his personality...he has good character.","Positive",0.973751
"Watching Lebron highlights. Damn that niggas good","Positive",0.807267
"@Lou911 Lebron is MURDERING shit.","Negative",0.752957
"@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.","Negative",0.930255
"@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players.","Negative",0.556253
"KOBE IS GOOD BT LEBRON HAS MY VOTE","Negative",0.76225
"Kobe is the best in the world not lebron .","Positive",0.623514
"@asherroth World Cup 2010 Access?? Damn, that's a good look!","Positive",0.927408
"Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI","Positive",0.894576
"Share: Disruption...Fred Wilson's slides for his talk at Google HQ  http://bit.ly/Bo8PG","Positive",0.647461
"I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :)","Negative",0.937939
"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election.","Positive",0.813657
"@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday.","Positive",0.559798
"@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF","Positive",0.875367
"ok.. do nothing.. just thinking about 40D","Positive",0.665013
"@faithbabywear Ooooh, what model are you getting??? I have the 40D and LOVE LOVE LOVE LOVE it!","Positive",0.945249
"The Times of India: The wonder that is India's election. http://bit.ly/p7u1H","Negative",0.634184
"http://is.gd/ArUJ Good video from Google on using search options.","Positive",0.734664
"@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.","Negative",0.841609
"itchy back!! dont ya hate it!","Negative",0.745138
"Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH","Positive",0.93571
"Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl","Positive",0.697336
"Lyx is cool.","Positive",0.905482
"SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!!","Negative",0.93875
"RT @PassionModel 'American Idol' fashion: Adam Lambert tones down, Danny Gokey cute ... http://cli.gs/7JWSHV","Positive",0.930881
"@dannygokey I love you DANNY GOKEY!! :)","Positive",0.865531
"RT @justindavey: RT @tweetmeme GM OnStar now instantly sends accident location coordinates to 911 | GPS Obsessed http://bit.ly/16szL1","Negative",0.651988
"so tired. i didn't sleep well at all last night.","Negative",0.855276
"Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.","Negative",0.893093
"bonjour San Francisco. My back hurts from last night..","Negative",0.937836
"breakers. in San Francisco, CA http://loopt.us/4v88Bw.t","Positive",0.629311
"Heading to San Francisco","Positive",0.688724
"With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful!","Positive",0.953433
"F*** up big, or go home - AIG","Negative",0.6926
"Went to see the Star Trek movie last night.  Very satisfying.","Positive",0.923559
"I can't wait, going to see star trek tonight!!","Positive",0.899941
"Star Trek was as good as everyone said!!","Positive",0.726479
"am loving new malcolm gladwell book - outliers","Positive",0.976611
"I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.","Positive",0.774949
"Malcolm Gladwell is a genius at tricking people into not realizing he's a fucking idiot","Positive",0.64839
"@sportsguy33 hey no offense but malcolm gladwell is a pretenious, annoying cunt and he brings you down. cant read his shit","Negative",0.579921
"RT @clashmore: http://bit.ly/SOYv7  Great article by Malcolm Gladwell.","Positive",0.917367
"I seriously underestimated Malcolm Gladwell.  I want to meet this dude.","Negative",0.58717
"i hate comcast right now. everything is down cable internet &amp; phone....ughh what am i to do","Negative",0.988349
"Comcast sucks.","Negative",0.93927
"The day I never have to deal with Comcast again will rank as one of the best days of my life.","Positive",0.639079
"@Dommm did comcast fail again??","Negative",0.947823
"How do you use the twitter API?... http://bit.ly/4VBhH","Positive",0.556211
"curses the Twitter API limit","Negative",0.963274
"Now I can see why Dave Winer screams about lack of Twitter API, its limitations and access throttles!","Negative",0.537428
"testing Twitter API","Positive",0.524753
"Arg. Twitter API is making me crazy.","Negative",0.899182
"Testing Twitter API. Remote Update","Positive",0.585588
"I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/","Positive",0.797395
"#wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia, totally useless!","Negative",0.923579
"Off to the NIKE factory!!!","Positive",0.773313
"New nike muppet commercials are pretty cute. Why do we live together again?","Positive",0.591071
"New blog post: Nike Zoom LeBron Soldier 3 (III) - White / Black - Teal http://bit.ly/rouUS","Positive",0.751381
"New blog post: Nike Trainer 1 http://bit.ly/394bp","Positive",0.838208
"@Fraggle312 oh those are awesome! i so wish they weren't owned by nike :(","Negative",0.829697
"@tonyhawk http://twitpic.com/5c7uj - AWESOME!!! Seeing the show Friday at the Shoreline Amphitheatre. Never seen NIN before. Can't wait. ...","Positive",0.919939
"arhh, It's weka bug. = = and I spent almost two hours to find that out. crappy me","Negative",0.916303
"@mitzs hey bud :) np I do so love my 50D, although I'd love a 5D mkII more","Positive",0.944792
"@jonduenas @robynlyn just got us a 50D for the office. :D","Positive",0.633163
"Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!","Positive",0.974706
"Just got my new toy. Canon 50D. Love love love it!","Positive",0.967855
"Learning about lambda calculus :)","Positive",0.731819
"#jobs #sittercity Help with taking care of sick child (East Palo Alto, CA) http://tinyurl.com/qwrr2m","Negative",0.899732
"I'm moving to East Palo Alto!","Negative",0.646282
"@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!","Positive",0.986376
"@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around)","Positive",0.948041
"#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd","Negative",0.575276
"Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship","Negative",0.662397
"LAKERS tonight let's go!!!!","Positive",0.954672
"Will the Lakers kick the Nuggets ass tonight?","Positive",0.686221
"Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH","Negative",0.756627
"Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379","Negative",0.70774
"Listening to Obama... Friggin North Korea...","Negative",0.666219
"I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012","Positive",0.706553
"@foxnews Pelosi should stay in China and never come back.","Negative",0.759033
"Nancy Pelosi gave the worst commencement speech I've ever heard. Yes I'm still bitter about this","Negative",0.942857
"ugh. the amount of times these stupid insects have bitten me. Grr..","Negative",0.995082
"Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p","Positive",0.713292
"Just got barraged by a horde of insects hungry for my kitchen light. So scary.","Negative",0.881691
"Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;)","Positive",0.739967
"AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]","Positive",0.787674
"Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.","Negative",0.763839
"Could go for a lot of McDonalds. i mean A LOT.","Negative",0.636438
"my exam went good. @HelloLeonie: your prayers worked (:","Positive",0.777193
"Only one exam left, and i am so happy for it :D","Positive",0.891228
"Math review. Im going to fail the exam.","Negative",0.972096
"Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly","Positive",0.656228
"obviously not siding with Cheney here: http://bit.ly/19j2d","Negative",0.727834
"Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt","Positive",0.944669
"@mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D) http://bit.ly/EOrFV","Positive",0.649286
"Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=30629","Positive",0.899242
"RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign","Positive",0.959389
"I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them","Positive",0.533713
"Adobe CS4 commercial by Goodby Silverstein: http://bit.ly/1aikhF","Negative",0.707785
"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it.","Positive",0.980293
"Wow everyone at the Google I/O conference got free G2's with a month of unlimited service","Positive",0.850073
"@vkerkez dood I got a free google android phone at the I/O conference. The G2!","Negative",0.593414
"@Orli the G2 is amazing btw, a HUGE improvement over the G1","Positive",0.95904
"HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio","Positive",0.975029
"@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!","Positive",0.984076
"#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.","Positive",0.955806
"Awesome viral marketing for Funny People http://www.nbc.com/yo-teach/","Positive",0.98197
"Watching a programme about the life of Hitler, its only enhancing my geekiness of history.","Positive",0.611784
"saw night at the museum out of sheer desperation. who is funding these movies?","Positive",0.637153
"Night At The Museum 2? Pretty furkin good.","Positive",0.960159
"Watching Night at the Museum - giggling.","Positive",0.972485
"@pambeeslyjenna Jenna, I went to see Night At The Museum 2 today and I was so surprised to see three cast members from The Office...","Positive",0.696798
"About to watch Night at the Museum with Ryan and Stacy","Positive",0.983751
"Getting ready to go watch Night at the Museum 2.  Dum dum, you give me gum gum!","Positive",0.80493
"Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing, but 'Night at the Museum' was; eh.","Positive",0.744442
"just watched night at the museum 2! so stinkin cute!","Positive",0.910851
"So, Night at the Museum 2 was AWESOME! Much better than part 1. Next weekend we'll see Up.","Positive",0.952431
"I think I may have a new favorite restaurant. On our way to see Night at the Museum 2.","Positive",0.926897
"UP! was sold out, so i'm seeing Night At The Museum 2. I'm __ years old.","Negative",0.658662
"saw the new Night at the Museum and i loved it. Next is to go see UP in 3D","Positive",0.960608
"It is a shame about GM. What if they are forced to make only cars the White House THINKS will sell? What do you think?","Negative",0.866582
"As u may have noticed, not too happy about the GM situation, nor AIG, Lehman, et al","Negative",0.952813
"Obama: Nationalization of GM to be short-term   (AP) http://tinyurl.com/md347r","Positive",0.6435
"@Pittstock $GM good riddance.  sad though.","Negative",0.982328
"I Will NEVER Buy a Government Motors Vehicle: Until just recently, I drove GM cars. Since 1988, when I bought a .. http://tinyurl.com/lulsw8","Negative",0.672916
"Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala","Negative",0.85204
"#RantsAndRaves The worst thing about GM (concord / pleasant hill / martinez): is the fucking UAW. ..   http://buzzup.com/4ueb","Negative",0.912182
"Give a man a fish, u feed him for the day. Teach him to fish, u feed him for life. Buy him GM, and u F**K him over for good.","Positive",0.884697
"The more I hear about this GM thing the more angry I get. Billions wasted, more bullshit. All for something like 40k employees and all the..","Negative",0.643953
"@QuantTrader i own a GM car and it is junk as far as quality compared to a honda","Negative",0.539652
"sad day...bankrupt GM","Negative",0.996578
"is upset about the whole GM thing. life as i know it is so screwed up","Negative",0.998682
"whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs","Negative",0.876848
"Time Warner CEO hints at online fees for magazines      (AP) - Read from Mountain View,United States. Views 16209 http://bit.ly/UdFCH","Positive",0.769758
"#WFTB Joining a bit late. My connection was down (boo time warner)","Negative",0.905269
"Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.","Negative",0.52457
"i am furious with time warner and their phone promotions!","Positive",0.75125
"Just got home from chick-fil-a with the boys. Damn my internets down =( stupid time warner","Negative",0.964461
"could time-warner cable suck more?  NO.","Negative",0.975587
"Pissed at Time Warner for causin me to have slow internet problems","Negative",0.988422
"@sportsguy33 Ummm, having some Time Warner problems?","Negative",0.62921
"You guys see this?  Why does Time Warner have to suck so much ass?  Really wish I could get U-Verse at my apartment. http://bit.ly/s594j","Negative",0.839108
"RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap, that's not an upside.","Positive",0.542968
"RT @sportsguy33: New Time Warner slogan: Time Warner, where we make you long for the days before cable.","Positive",0.861715
"confirmed: it's Time Warner's fault, not Facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/","Negative",0.97426
"@sportsguy33 Time Warner = epic fail","Negative",0.888977
"Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china","Positive",0.576825
"Weird Piano Guitar House in China! http://u2s.me/72i8","Negative",0.715231
"Send us your GM/Chevy photos http://tinyurl.com/luzkpq","Positive",0.88949
"I know. How sad is that?  RT @caseymercier: 1st day of hurricane season. That's less scarey than govt taking over GM.","Negative",0.946322
"GM files Bankruptcy, not a good sign...","Negative",0.984678
"yankees won mets lost. its a good day.","Positive",0.748765
"My dentist appt today was actually quite enjoyable.","Positive",0.611835
"I hate the effing dentist.","Negative",0.987637
"@stevemoakler i had a dentist appt this morning and had the same conversation!","Negative",0.67972
"@kirstiealley I hate going to the dentist.. !!!","Negative",0.989033
"i hate the dentist....who invented them anyways?","Negative",0.904357
"this dentist's office is cold :/","Negative",0.911386
"Check this video out -- David After Dentist http://bit.ly/47aW2","Negative",0.720474
"First dentist appointment [in years] on Wednesday possibly.","Negative",0.796898
"Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu","Positive",0.79006
"BaseballAmerica.com: Blog: Baseball America Prospects Blog ? Blog ... http://bit.ly/EtT8a","Positive",0.545026
"Portland city politics may undo baseball park http://tinyurl.com/lpjquj","Positive",0.851082
"RT @WaterSISWEB: CA Merced's water bottled by Safeway, resold at a profit: Wells are drying up across the county http://tinyurl.com/mb573s","Negative",0.639781
"dropped her broccoli walking home from safeway! ;( so depressed","Negative",0.996595
"@ronjon we don't have Safeway.","Negative",0.746356
"Just applied at Safeway!(: Yeeeee!","Positive",0.603004
"@ Safeway. Place is a nightmare right now. Bumming.","Negative",0.969335
"at safeway with dad","Positive",0.741674
"HATE safeway select green tea icecream! bought two cartons, what a waste of money.  &gt;_&lt;","Negative",0.919631
"Safeway with Marvin, Janelle, and Auntie Lhu","Positive",0.924156
"Safeway offering mobile coupons http://bit.ly/ONH7w","Positive",0.944043
"Phillies Driving in the Cadillac with the Top Down in Cali, Win 5-3 - http://tinyurl.com/nzcjqa","Positive",0.828
"Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town.","Positive",0.749622
"Lounging around, eating Taco Bell and watching NCIS before work tonight. Need help staying awake.","Positive",0.521235
"eating breakfast and then school","Negative",0.649364
"still hungry after eating....","Negative",0.743174
"10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn","Positive",0.948336
"with the boyfriend, eating a quesadilla","Positive",0.814388
"Eating dinner. Meat, chips, and risotto.","Positive",0.863116
"got a new pair of nike shoes. pics up later","Positive",0.886938
"Nike SB Blazer High ACG Custom - Brad Douglas - http://timesurl.at/45a448","Positive",0.90906
"Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes","Positive",0.908499
"Nike Air Yeezy Khaki/Pink Colorway Release - http://shar.es/bjfN","Positive",0.579466
"@evelynbyrne have you tried Nike  ? V. addictive.","Positive",0.619197
"@erickoston That looks an awful lot like one of Nike's private jets....I'm just sayin....","Positive",0.803093
"The Nike Training Club (beta) iPhone app looks very interesting.","Positive",0.820197
"argghhhh why won't  my jquery appear in safari bad safari !!!","Negative",0.989708
"DevSnippets : jQuery Tools - Javascript UI Components for the Web... http://inblogs.org/go/hfuqt","Positive",0.86305
"all about Ajax,jquery ,css ,JavaScript and more... (many examples) http://ajaxian.com/","Positive",0.622532
"I'm ready to drop the pretenses, I am forever in love with jQuery, and I want to marry it. Sorry ladies, this nerd is jquery.spokenFor.js","Negative",0.573372
"This is cold.. I was looking at google's chart//visualization API and found this jQuery wrapper for the API...  http://tinyurl.com/mq52bq","Negative",0.751086
"I spent most of my day reading a jQuery book. Now to start drinking some delirium tremens.","Positive",0.761693
"jquery Selectors http://codylindley.com/jqueryselectors/","Positive",0.570816
"How to implement a news ticker with jQuery and ten lines of code http://bit.ly/CZnFJ","Negative",0.692181
"What's Buffet Doing? Warren Buffett Kicks Butt In Battle of the Boots: Posted By:Alex Crippe.. http://bit.ly/AUIzO","Positive",0.650316
"SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie, but a goodie. http://tinyurl.com/oqxgga","Positive",0.968518
"I'm truly braindead.  I couldn't come up with Warren Buffet's name to save my soul","Negative",0.686499
"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio","Positive",0.929546
"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it.","Positive",0.75409
"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html","Negative",0.998264
"I'd say some sports writers are idiots for saying Roger Federer is one of the best ever in Tennis.  Roger Federer is THE best ever in Tennis","Positive",0.716989
"I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads.","Negative",0.896523
"I love my Kindle2. No more stacks of books to trip over on the way to the loo.","Positive",0.749651
"Although today's keynote rocked, for every great announcement, AT&amp;T shit on us just a little bit more.","Positive",0.772901
"@sheridanmarfil - its not so much my obsession with cell phones, but the iphone!  i'm a slave to at&amp;t forever because of it. :)","Negative",0.951353
"@freitasm oh I see. I thought AT&amp;T were 900MHz WCDMA?","Negative",0.664681
"@Plip Where did you read about tethering support Phil?  Just AT&amp;T or will O2 be joining in?","Negative",0.894572
"Fuzzball is more fun than AT&amp;T ;P http://fuzz-ball.com/twitter","Positive",0.94956
"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass","Positive",0.720063
"GOT MY WAVE SANDBOX INVITE! Extra excited! Too bad I have class now... but I'll play with it soon enough! #io2009 #wave","Positive",0.555204
"looks like summize has gone down. too many tweets from WWDC perhaps?","Negative",0.826055
"I hope the girl at work  buys my Kindle2","Negative",0.806485
"Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2 http://bit.ly/i0peY @wroush","Positive",0.616852
"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen","Positive",0.996873
"Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T","Negative",0.999929
"@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky.","Positive",0.791391
"The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?","Negative",0.7334
"I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha.","Positive",0.947548
"@ruby_gem My primary debit card is Visa Electron.","Negative",0.916113
"Off to the bank to get my new visa platinum card","Positive",0.854933
"dearest @google, you rich bastards! the VISA card you sent me doesn't work. why screw a little guy like me?","Negative",0.769641
"has a date with bobby flay and gut fieri from food network","Positive",0.796424
"Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest!","Positive",0.935068
"Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.","Positive",0.961613
"can't wait for the great american food and music festival at shoreline tomorrow.  mmm...katz pastrami and bobby flay. yes please.","Positive",0.969459
"My dad was in NY for a day, we ate at MESA grill last night and met Bobby Flay. So much fun, except I completely lost my voice today.","Negative",0.964336
"Fighting with LaTex. Again...","Negative",0.814577
"@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil","Negative",0.568903
"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more.","Negative",0.772889
"How to Track Iran with Social Media: http://bit.ly/2BoqU","Negative",0.978053
"Shit's hitting the fan in Iran...craziness indeed #iranelection","Negative",0.951583
"Monday already. Iran may implode. Kitchen is a disaster. @annagoss seems happy. @sebulous had a nice weekend and @goldpanda is great. whoop.","Negative",0.739242
"Twitter Stock buzz: $AAPL $ES_F $SPY $SPX $PALM  (updated: 12:00 PM)","Positive",0.711521
"getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby.","Positive",0.977692
"@johncmayer is Bobby Flay joining you?","Positive",0.876383
"i lam so in love with Bobby Flay... he is my favorite. RT @terrysimpson: @bflay you need a place in Phoenix. We have great peppers here!","Positive",0.965805
"I just created my first LaTeX file from scratch. That didn't work out very well. (See @amandabittner , it's a great time waster)","Positive",0.831745
"using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!","Positive",0.970369
"After using LaTeX a lot, any other typeset mathematics just looks hideous.","Negative",0.854895
"Ask Programming: LaTeX or InDesign?: submitted by calcio1 [link] [1 comment] http://tinyurl.com/myfmf7","Positive",0.864354
"On that note, I hate Word. I hate Pages. I hate LaTeX. There, I said it. I hate LaTeX. All you TEXN3RDS can come kill me now.","Negative",0.964904
"Ahhh... back in a *real* text editing environment. I &lt;3 LaTeX.","Positive",0.838804
"Trouble in Iran, I see. Hmm. Iran. Iran so far away. #flockofseagullsweregeopoliticallycorrect","Negative",0.999993
"Reading the tweets coming out of Iran... The whole thing is terrifying and incredibly sad...","Negative",0.999579
